4676 ,-4356 ,18688 ,166 ,-1 ,141
5308 ,-5180 ,17808 ,177 ,-12 ,144
8012 ,-3408 ,15148 ,181 ,-12 ,143
6224 ,332 ,14572 ,167 ,65 ,79
5412 ,18828 ,-544 ,159 ,81 ,-1
6984 ,-3720 ,17368 ,191 ,-3 ,136
7120 ,-3244 ,17184 ,190 ,11 ,129
6456 ,-1640 ,19036 ,188 ,30 ,115
6224 ,2848 ,19464 ,188 ,54 ,88
8480 ,3124 ,15476 ,193 ,64 ,70
3908 ,-5556 ,22960 ,170 ,42 ,109
7484 ,904 ,14432 ,171 ,41 ,110
412 ,-1772 ,19040 ,150 ,26 ,124
-5268 ,2188 ,17988 ,118 ,43 ,102
-17892 ,2912 ,15468 ,77 ,49 ,70
-10424 ,196 ,9712 ,66 ,35 ,83
-6916 ,-9204 ,20108 ,96 ,4 ,128
4504 ,-8136 ,14292 ,178 ,-51 ,157
6808 ,-8028 ,15776 ,215 ,-65 ,150
7892 ,-7836 ,16184 ,223 ,-68 ,147
9020 ,-9568 ,14096 ,229 ,-83 ,146
9620 ,-10108 ,12236 ,231 ,-104 ,147
12324 ,-7252 ,12092 ,235 ,-101 ,145
10092 ,-13204 ,9256 ,238 ,-134 ,142
9396 ,-8840 ,10696 ,246 ,-130 ,138
8280 ,-11944 ,12880 ,254 ,-124 ,134
9220 ,-11924 ,10480 ,261 ,-105 ,130
8524 ,-2344 ,15724 ,252 ,-6 ,104
10568 ,2412 ,17324 ,250 ,41 ,50
1776 ,6388 ,21448 ,249 ,50 ,16
10288 ,5832 ,14724 ,245 ,54 ,6
10068 ,10976 ,8884 ,243 ,40 ,-42
9608 ,11896 ,2960 ,250 ,-50 ,-103
9980 ,13448 ,1824 ,249 ,-42 ,-101
9968 ,11884 ,1044 ,250 ,-43 ,-102
10656 ,-5624 ,14464 ,299 ,-50 ,75
10676 ,-6336 ,14144 ,299 ,-50 ,75
11360 ,-4792 ,13480 ,300 ,-46 ,73
11340 ,-4940 ,13856 ,299 ,-45 ,71
11412 ,-5388 ,14024 ,300 ,-45 ,70
11632 ,-4956 ,13564 ,300 ,-43 ,69
11852 ,-4808 ,12216 ,301 ,-43 ,67
12068 ,-5224 ,13056 ,301 ,-42 ,65
14536 ,-4312 ,10332 ,302 ,-25 ,49
15624 ,-9100 ,-640 ,293 ,-28 ,69
13768 ,-5424 ,12580 ,285 ,-35 ,85
-14056 ,5972 ,7104 ,-61 ,-155 ,47
-14108 ,5612 ,7004 ,-61 ,-155 ,47
-15016 ,6504 ,7668 ,-61 ,-157 ,45
-14116 ,4248 ,7784 ,-64 ,-158 ,43
-12920 ,4192 ,10724 ,-69 ,-160 ,41
-13308 ,5144 ,12492 ,-71 ,-155 ,47
-11836 ,3896 ,13564 ,-66 ,-150 ,59
-10304 ,4616 ,13632 ,-55 ,-151 ,72
-10112 ,-2164 ,8992 ,-44 ,-177 ,69
1456 ,-10688 ,15024 ,21 ,-271 ,64
1108 ,-11056 ,15036 ,21 ,-270 ,64
1984 ,-6404 ,16200 ,27 ,-264 ,77
6404 ,-9056 ,17208 ,53 ,-271 ,89
6908 ,-2084 ,14760 ,93 ,-217 ,135
10348 ,8708 ,10320 ,146 ,-80 ,147
12692 ,8624 ,7012 ,150 ,-6 ,115
7300 ,10860 ,12900 ,133 ,-14 ,122
8312 ,-2600 ,9704 ,105 ,-212 ,135
1596 ,-14448 ,16448 ,63 ,-298 ,40
1792 ,-12900 ,13916 ,59 ,-295 ,45
-2528 ,-6824 ,13640 ,24 ,-260 ,65
-10140 ,-3968 ,8960 ,-41 ,-184 ,51
-14444 ,-2524 ,5068 ,-74 ,-163 ,-39
-18764 ,-2044 ,-3808 ,-53 ,-166 ,-75
-14648 ,2776 ,-3976 ,19 ,-85 ,-122
-7928 ,8812 ,-9240 ,86 ,-42 ,-129
-7532 ,6936 ,-10020 ,155 ,-55 ,-134
1436 ,12784 ,-9492 ,203 ,-62 ,-123
7132 ,12292 ,-6060 ,242 ,-64 ,-103
8736 ,12948 ,-4892 ,274 ,-79 ,-85
10424 ,13548 ,1012 ,281 ,-91 ,-81
12144 ,6476 ,-6648 ,291 ,-131 ,-76
14192 ,632 ,-1460 ,286 ,-211 ,-63
17360 ,1744 ,-664 ,272 ,-212 ,-82
15416 ,3124 ,2776 ,275 ,-216 ,-76
15388 ,-6460 ,-2888 ,237 ,-206 ,-124
16460 ,-3348 ,-44 ,229 ,-193 ,-134
16648 ,-3072 ,-744 ,236 ,-186 ,-133
17352 ,-760 ,-1260 ,236 ,-38 ,-121
16872 ,580 ,580 ,243 ,8 ,-82
16480 ,400 ,4092 ,255 ,30 ,-30
16588 ,880 ,5272 ,258 ,34 ,6
15876 ,1700 ,10096 ,255 ,39 ,21
15052 ,4872 ,10188 ,250 ,42 ,29
16776 ,2704 ,10280 ,237 ,48 ,45
13244 ,1948 ,12520 ,218 ,49 ,72
9236 ,448 ,17580 ,182 ,44 ,100
8368 ,-872 ,17308 ,173 ,29 ,118
10156 ,-4388 ,13972 ,185 ,-14 ,141
7164 ,-12004 ,19020 ,184 ,-89 ,162
6732 ,-11556 ,13936 ,178 ,-130 ,165
4756 ,-14296 ,7468 ,151 ,-184 ,161
2760 ,-16984 ,5040 ,148 ,-265 ,121
4352 ,-14880 ,-2452 ,155 ,-309 ,64
4820 ,-15668 ,-3820 ,167 ,-311 ,57
6608 ,-17588 ,1968 ,174 ,-268 ,114
5936 ,-4932 ,17992 ,145 ,-56 ,163
6708 ,6288 ,17392 ,128 ,69 ,82
5532 ,3056 ,16676 ,136 ,78 ,63
5776 ,9948 ,16644 ,125 ,88 ,22
6140 ,15072 ,5612 ,130 ,55 ,-76
3368 ,6716 ,-9272 ,139 ,-194 ,-140
-1560 ,2520 ,-16092 ,109 ,-186 ,-139
-2248 ,-400 ,-11928 ,100 ,-240 ,-116
-4684 ,-1932 ,-14088 ,90 ,-250 ,-108
-10776 ,-6740 ,-13204 ,84 ,-277 ,-83
-9316 ,-6204 ,-11840 ,63 ,-279 ,-70
-15140 ,-716 ,-6160 ,-22 ,-212 ,-67
-15856 ,424 ,2848 ,-44 ,-203 ,-54
-16152 ,-4620 ,3748 ,-48 ,-208 ,-49
-14440 ,-2020 ,3172 ,-46 ,-223 ,-34
-7648 ,-2904 ,3512 ,-48 ,-213 ,-46
-16296 ,-2368 ,480 ,-49 ,-207 ,-49
-15480 ,-3008 ,2292 ,-46 ,-190 ,-70
-16560 ,-4972 ,3552 ,-38 ,-219 ,-51
-15280 ,-2140 ,2936 ,-41 ,-222 ,-2
-15856 ,-212 ,2724 ,-45 ,-214 ,10
-15168 ,-4808 ,-924 ,-40 ,-219 ,17
-15960 ,-1400 ,4536 ,-21 ,-163 ,86
-16540 ,-256 ,828 ,-13 ,-116 ,97
-13684 ,3140 ,1824 ,19 ,-86 ,117
-8332 ,-996 ,8200 ,80 ,-8 ,110
-1520 ,684 ,6900 ,144 ,-33 ,138
-5408 ,-3320 ,17632 ,157 ,-76 ,152
-6412 ,-2944 ,18228 ,151 ,-72 ,151
-1032 ,-352 ,20624 ,151 ,-14 ,127
